component,action,start,end,duration,status
sorter,gripper_close,1779780828.0944564,1779780831.1007223,3.006258964538574,ok
sorter,move_to_home_final,1779780831.1013663,1779780840.1401606,9.03878927230835,ok
controller,sorter_total,1779780798.447127,1779780840.178481,41.731351375579834,ok
pickplace,move_to_home_initial,1779780840.2508109,1779780846.7712686,6.520452499389648,ok
pickplace,conveyor_belt_running_until_object_detected,1779780846.780478,1779780847.7405598,0.9600784778594971,ok
pickplace,gripper_open,1779780847.7426305,1779780850.7512662,3.0086309909820557,ok
pickplace,move_to_pick,1779780850.751825,1779780857.281309,6.529479026794434,ok
pickplace,gripper_close,1779780857.2818937,1779780860.2909596,3.0090606212615967,ok
pickplace,move_to_color_sensor,1779780860.2915385,1779780869.3308535,9.039312839508057,ok
pickplace,gripper_open,1779780869.331192,1779780872.3400683,3.0088727474212646,ok
pickplace,move_to_home_final,1779780872.3403957,1779780881.369993,9.029590606689453,ok
pickplace,gripper_close,1779780881.3705854,1779780884.379894,3.009303331375122,ok
controller,pickplace_total,1779780840.1790452,1779780884.4533565,44.27430963516235,ok
controller,colorsensor_total,1779780884.4537134,1779780884.8701172,0.41640281677246094,ok
sorter,move_to_home_initial,1779780884.9150214,1779780891.4379363,6.522907733917236,ok
sorter,gripper_open,1779780891.4385207,1779780894.447264,3.0087382793426514,ok
sorter,move_to_color_sensor,1779780894.447847,1779780900.9673116,6.519462585449219,ok
sorter,gripper_close,1779780900.9676716,1779780903.9770665,3.009390115737915,ok
sorter,move_to_conveyor,1779780903.9774375,1779780914.5100179,10.532571077346802,ok
